Name,Pos,Team,G,Tck,TFL,FF/FR,Sck,Int,PD,Sfty,TD,Blk P/XP/FG
Altee. H.,SS,DAL,9,28,0,0/0,0,0,0,0,0,0/0/0
Brownce. B.,DE,NOR,14,27,11,0/0,2,0,0,0,0,0/0/0
Magne (GM). C.,DT,LDN,12,27,0,0/0,0,0,0,0,0,0/0/0
Frackerson. J.,DE,MB,14,25,1,0/0,2,0,0,1,0,0/0/0
Steel. H.,DT,POR,14,23,0,1/0,4,0,0,0,0,0/0/0
Blackwell. B.,CB,DAL,14,22,0,0/0,0,1,3,0,0,0/0/0
Arthur (GM). K.,DE,LDN,12,21,6,1/0,2,0,0,0,0,0/0/0
Cheese III. D.,SS,TIJ,14,19,0,0/0,0,0,0,0,0,0/0/0
Radson. M.,LB,MB,14,19,2,0/0,2,0,0,0,0,0/0/0
Stone. N.,LB,KC,14,19,1,0/0,0,0,2,0,0,0/0/0
Chainbreaker. A.,LB,MINN,4,19,0,0/0,0,0,0,0,0,0/0/0
Heights. A.,DE,NOR,4,15,10,0/0,0,0,0,0,0,0/0/0
Hunter. D.,DE,DAL,4,14,8,0/0,0,0,0,0,0,0/0/0
Eller. A.,DE,DAL,14,13,5,0/0,1,0,0,0,0,0/0/0
Sackpieder. D.,LB,TIJ,14,12,0,1/0,2,0,0,0,0,0/0/0
Domine. J.,LB,KC,2,11,1,0/0,0,0,0,0,0,0/0/0
Johnston. M.,DT,TIJ,14,10,1,0/0,0,0,0,0,0,0/0/0
Kelekolio. J.,DE,DAL,5,8,3,0/0,0,0,0,0,0,0/0/0
Montain. A.,DE,LDN,4,8,5,0/0,0,0,0,0,0,0/0/0
Button. Q.,SS,NOR,4,7,0,0/0,2,0,0,0,0,0/0/0
Simwell. L.,DT,TIJ,4,6,1,0/0,2,0,0,0,0,0/0/0
Raji. B.,DT,MINN,4,6,0,0/0,0,0,0,0,0,0/0/0
Warren. A.,DE,LDN,8,6,3,0/0,2,0,0,1,0,0/0/0
Winkler. D.,DE,TIJ,10,5,2,0/0,1,0,0,0,0,0/0/0
And (GM). C.,LB,KC,14,5,1,0/0,0,0,1,0,0,0/0/0
Thomaslacher. B.,LB,KC,2,5,0,1/0,1,0,0,0,0,0/0/0
Cat. T.,CB,KC,14,4,0,0/0,0,0,0,0,0,0/0/0
Fallstrum. G.,DT,NOR,2,3,0,0/0,0,0,0,0,0,0/0/0
Schiaparelli. X.,CB,DAL,9,3,0,0/0,0,0,0,0,0,0/0/0
Bjornsson. G.,DT,MINN,13,3,0,0/0,2,0,0,0,0,0/0/0
Nguyen. F.,DE,NOR,2,2,0,0/0,0,0,0,0,0,0/0/0
Atlas. A.,SS,DAL,2,1,0,0/0,0,0,0,0,0,0/0/0
Boomhauer. R.,CB,MINN,6,1,0,0/0,0,0,0,0,0,0/0/0
Jones. C.,DT,LDN,9,1,0,0/0,0,0,0,0,0,0/0/0
Gilbert. R.,RB,TIJ,14,0,0,0/2,0,0,0,0,0,0/0/0
Slothlisberger. B.,QB,TIJ,14,0,0,0/1,0,0,0,0,0,0/0/0
Vequain. F.,WR,TIJ,14,0,0,0/1,0,0,0,0,0,0/0/0
Despacito Jr.. G.,WR,MB,14,0,0,0/1,0,0,0,0,0,0/0/0
Minor. J.,G,MB,14,0,0,0/1,0,0,0,0,0,0/0/0
Quail. D.,T,MB,14,0,0,0/1,0,0,0,0,0,0/0/0
Ramos. C.,QB,MB,14,0,0,0/2,0,0,0,0,0,0/0/0
Sunrise. T.,RB,NOR,14,0,0,0/3,0,0,0,0,0,0/0/0
Skywalker. L.,QB,NOR,14,0,0,0/1,0,0,0,0,0,0/0/0
Boy (BOT). B.,G,NOR,14,0,0,0/1,0,0,0,0,0,0/0/0
Dude (BOT). B.,C,NOR,14,0,0,0/1,0,0,0,0,0,0/0/0
Skrills. Q.,RB,NOR,14,0,0,0/1,0,0,0,0,0,0/0/0
Hex. T.,TE,DAL,14,0,0,0/1,0,0,0,0,0,0/0/0
Jack. M.,QB,DAL,14,0,0,0/2,0,0,0,0,0,0/0/0
Thadsson. C.,T,DAL,11,0,0,0/1,0,0,0,0,0,0/0/0
Fakon. K.,RB,KC,14,0,0,0/1,0,0,0,0,0,0/0/0
Watson. J.,WR,KC,10,0,0,0/1,0,0,0,0,0,0/0/0
Z. D.,FB,KC,9,0,0,0/1,0,0,0,0,0,0/0/0
Cooper (BOT). K.,G,KC,14,0,0,0/1,0,0,0,0,0,0/0/0
Uzzi (BOT). O.,C,KC,14,0,0,0/2,0,0,0,0,0,0/0/0
Bible (BOT). L.,T,KC,14,0,0,0/1,0,0,0,0,0,0/0/0
George. D.,TE,POR,14,0,0,0/1,0,0,0,0,0,0/0/0
Sacamano. T.,T,POR,14,0,0,0/1,0,0,0,0,0,0/0/0
Aizen (BOT). S.,C,POR,14,0,0,0/1,0,0,0,0,0,0/0/0
McZeal. K.,RB,POR,14,0,0,0/1,0,0,0,0,0,0/0/0
Brooks. D.,WR,MINN,14,0,0,0/1,0,0,0,0,0,0/0/0
Lackson. J.,RB,MINN,14,0,0,0/1,0,0,0,0,0,0/0/0
SnowBow. S.,QB,MINN,14,0,0,0/1,0,0,0,0,0,0/0/0
Sakura. K.,WR,MINN,14,0,0,0/1,0,0,0,0,0,0/0/0
